Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of countries,New_Confirmed,New_Deaths,New_Recovered,Confirmed_7day_avg,Death_Rate,Recovery_Rate
2020-07-18,14292198,602130,7944550,5745518,237635,5627,150790,4.21,55.59,7.58,187,237635.0,5627.0,150790.0,224318.57142857142,4.212997888778199,55.586621455985984
2020-07-19,14506845,606159,8032235,5868451,214647,4029,87685,4.18,55.37,7.55,187,214647.0,4029.0,87685.0,227458.42857142858,4.178434387353005,55.368586346652215
2020-07-20,14713623,610319,8190777,5912527,206778,4160,158542,4.15,55.67,7.45,187,206778.0,4160.0,158542.0,229458.2857142857,4.147985849576274,55.667981978333955
2020-07-21,14947078,616557,8364986,5965535,233565,6238,174209,4.12,55.96,7.37,187,233455.0,6238.0,174209.0,231173.0,4.12493331472546,55.96402186434031
2020-07-22,15227725,623540,8541255,6062930,280647,6983,176269,4.09,56.09,7.3,187,280647.0,6983.0,176269.0,238248.7142857143,4.094767931519646,56.09015791919016
2020-07-23,15510481,633506,8710969,6166006,282756,9966,169714,4.08,56.16,7.27,187,282756.0,9966.0,169714.0,242565.14285714287,4.0843736567550675,56.161823737123306
2020-07-24,15791645,639650,8939705,6212290,281164,6144,228736,4.05,56.61,7.16,187,281164.0,6144.0,228736.0,248154.57142857142,4.050559647205849,56.61034680047582
2020-07-25,16047190,644517,9158743,6243930,255545,4867,219038,4.02,57.07,7.04,187,255545.0,4867.0,219038.0,250713.14285714287,4.016385423242324,57.07381167668607
2020-07-26,16251796,648621,9293464,6309711,204606,4104,134721,3.99,57.18,6.98,187,204606.0,4104.0,134721.0,249278.7142857143,3.9910727405143405,57.184227515531205
2020-07-27,16480485,654036,9468087,6358362,228693,5415,174623,3.97,57.45,6.91,187,228689.0,5415.0,174623.0,252408.85714285713,3.968548255709708,57.450293483474546
